Alzoniella iberopyrenaica
Alzoniella marianae
Alzoniella onatensis
Amanipodagrion gilliesi
Amanoa anomala
Amastra cylindrica
Amastra micans
Amastra rubens
Amastra spirizona
Amazilia alfaroana
Amazona vittata
Amblema neislerii
Ambystoma amblycephalum
Ambystoma andersoni
Ambystoma bombypellum
Ambystoma dumerilii
Ambystoma granulosum
Ambystoma leorae
Ambystoma mexicanum
Ambystoma taylori
Ameerega planipaleae
Ameles fasciipennis
Amentotaxus argotaenia brevifolia
Amesiella monticola
Ammannia alternifolia
Ammobates dusmeti
Ammopiptanthus nanus
Amorpha crenulata
Amorphophallus interruptus
Amorphophallus lanuginosus
Amorphophallus lewallei
Amorphophallus synandrifer
Amphilophus zaliosus
